accX[g],accY[g],accZ[g]
-1.284,0.677,-0.442
-1.927,-0.3,-1.997
-0.719,0.239,-1.989
0.204,-0.003,-0.365
-0.022,-0.999,0.667
-1.064,-0.391,0.592
-1.567,0.543,-1.924
-1.463,0.342,-1.997
-0.66,0.463,-1.607
0.342,-0.585,0.182
-0.541,-0.964,0.65
-0.92,0.512,-0.137
-1.397,0.401,-1.997
-0.546,-0.184,-1.814
0.004,-0.303,-0.346
-0.394,-0.826,0.432
-0.347,0.1,0.339
-0.444,0.718,-1.997
-0.508,-0.602,-1.997
-0.362,0.154,-1.095
0.092,-0.678,0.595
-0.024,-0.197,0.559
0.599,0.792,-1.318
0.155,-0.761,-1.997
-0.301,-0.478,-1.997
-0.421,-0.141,-0.708
-0.257,-0.41,0.465
-0.445,0.313,0.971
-0.181,1.002,0.318
-0.449,0.125,-0.912
-1.104,-0.694,-1.404
-0.516,-0.488,-1.85
0.009,-0.68,-1.655
-0.125,-0.594,-1.447
0.034,-0.414,-0.446
0.081,-0.373,-0.094
-0.461,-0.315,-1.034
-0.063,-0.735,-1.997
1.161,-1.45,-1.997
0.415,-1.327,-1.544
-0.916,-1.084,-0.605
-1.361,-0.413,0.292
-0.81,0.407,0.429
-1.998,0.965,-1.019
-1.859,-0.517,-1.707
0.42,-1.563,-1.363
0.99,-1.508,-0.953
1.33,-1.812,-0.867
1.78,-1.119,-0.89
-0.229,-1.488,-1.833
-1.815,-1.416,-1.18
-1.894,0.419,-0.35
-1.473,0.786,-0.484
-1.513,-0.591,-1.138
-0.628,-1.889,-1.36
1.141,-1.928,-0.853
1.654,-1.421,-1.095
1.283,-1.373,-1.132
0.0,-1.846,-1.304
-1.646,-1.852,-1.163
-1.702,0.178,-0.126
-1.779,1.253,-0.11
-1.998,0.294,-0.742
-1.088,-1.613,-1.521
0.399,-1.998,-1.156
1.306,-1.98,-1.251
1.786,-1.073,-0.707
0.919,-1.534,-0.823
-1.271,-1.952,-1.728
-1.502,-1.018,-0.473
-1.137,0.896,-0.464
-0.879,1.069,-0.398
-0.917,0.276,-1.617
-0.796,-1.36,-1.997
-0.753,-1.998,-1.997
-0.053,-1.814,-1.59
1.127,-1.316,0.775
1.58,-0.142,1.562
0.292,0.18,0.551
-1.053,0.232,-0.327
-1.998,0.383,-0.972
-1.998,0.194,-1.979
-1.486,0.085,-1.036
0.789,-0.287,0.051
1.979,-1.315,1.324
0.16,-0.388,-0.114
-1.991,0.764,-0.307
-1.998,0.03,-1.758
-1.998,-0.277,-1.424
-0.581,-0.418,-0.173
1.91,-0.463,0.409
0.88,-0.905,0.532
-1.099,-0.219,0.442
-1.998,0.465,-1.807
-1.998,0.093,-1.997
-1.34,0.09,-1.043
0.821,-0.177,-0.201
1.08,-1.121,0.19
0.172,-0.739,0.826
-1.998,0.527,-1.997
-1.998,0.956,-1.125
-1.891,-0.054,-1.803
-0.471,-0.336,-0.432
0.875,-0.418,0.095
-0.536,-0.42,0.022
-1.291,1.213,-0.907
-1.024,0.68,-1.997
-0.672,-0.898,-1.975
-0.536,-0.797,0.146
-0.852,-1.012,1.998
0.099,0.256,1.5
1.201,0.881,-0.069
1.058,-0.58,-1.997
0.762,-1.604,-1.997
0.725,-0.477,-1.568
-0.581,-0.921,1.689
-0.595,0.082,1.513
1.007,0.832,0.113
1.234,-0.579,-1.997
1.197,-0.414,-1.997
0.53,0.154,-1.091
-0.96,-0.55,1.396
-0.959,-0.482,1.718
0.945,0.6,0.386
1.997,0.184,-1.389
1.997,-1.268,-1.997
0.965,-0.44,-1.693
-1.979,-0.93,1.561
-1.303,0.193,1.611
1.416,0.874,0.054
1.997,-0.064,-1.996
1.981,-1.349,-1.997
0.322,-0.463,-0.432
-1.864,-1.097,1.913
-0.143,-0.45,1.322
1.014,1.23,0.289
1.741,0.353,-1.992
1.579,-1.652,-1.997
0.772,-0.255,-0.535
-0.577,-0.598,1.987
-0.614,0.249,1.2
-0.248,0.475,-0.6
-1.531,-0.084,-1.997
-1.208,-1.373,-1.997
1.098,-0.807,-1.801
1.997,-0.522,-0.589
0.976,-0.735,-0.124
-1.195,0.182,-0.932
-1.998,-0.054,-1.053
-1.998,0.576,-0.473
-0.368,1.569,-1.403
1.997,-0.835,-0.089
1.125,-1.933,-0.325
-0.598,-0.498,-0.867
-1.998,1.963,-0.732
-1.905,1.393,-1.514
1.037,-0.452,-1.853
1.985,-1.481,-1.158
1.803,-1.734,-0.755
0.149,-0.972,0.368
-1.512,1.396,-0.13
-1.998,1.983,-1.075
0.341,0.371,-1.891
1.698,-1.325,-1.317
1.997,-0.874,-1.221
1.167,-1.513,-0.252
-1.384,0.012,-0.119
-1.998,1.976,-0.708
-1.059,1.145,-1.98
0.936,-1.352,-1.991
1.89,-1.09,-1.274
0.963,-1.319,0.465
-0.23,0.48,0.587
-1.998,1.143,-0.488
-1.998,0.781,-1.13
0.739,-0.942,-1.056
-0.242,0.144,-1.95
0.789,-0.801,-0.754
-0.029,-1.109,-0.26
-1.224,-0.214,0.35
-1.998,1.106,0.316
-1.489,1.582,-1.64
-0.539,-0.877,-1.979
-0.085,-0.39,-1.3
1.008,-0.403,-0.325
0.385,-0.167,0.178
-1.916,0.477,-0.877
-1.998,-0.954,-1.294
-1.022,-0.092,-0.761
1.163,1.278,0.249
0.309,1.029,0.08
-1.998,-0.297,-1.726
-1.592,-1.761,-0.773
0.176,0.917,-0.455
1.201,1.557,0.587
-0.887,1.121,-0.723
-1.995,-1.683,-1.762
-0.62,-1.66,0.259
0.047,1.176,0.44
-0.048,1.995,1.04
-1.969,0.705,-1.004
-1.687,-1.998,-1.351
-0.249,0.024,0.207
0.209,1.997,1.101
-1.415,1.481,-0.607
-1.459,-1.947,-1.075
-0.437,-1.156,0.227
0.231,1.915,0.332
-0.801,1.981,-0.249
-0.581,-1.984,-0.911
-1.998,-1.185,-1.857
0.196,1.253,-0.08
0.171,1.985,-0.474
-1.436,0.008,-1.113
0.456,-1.998,-1.547
-0.196,-0.063,-0.636
-0.828,1.609,-0.535
-0.118,0.895,-0.131
0.5,-1.998,-1.152
0.374,-1.203,0.186
0.591,1.59,-0.15
0.329,1.84,0.119
1.997,-1.433,-0.012
-0.265,-1.998,-0.45
0.795,1.513,-0.397
1.124,1.997,-0.258
1.997,-0.714,-1.117
-0.573,-1.998,-0.792
0.365,1.687,-0.408
1.085,1.997,0.103
1.997,0.575,-1.379
-1.062,-1.998,-1.747
-0.431,1.111,-0.348
0.684,1.997,-0.424
1.997,-0.545,-1.666
-0.377,-1.982,-1.38
-0.42,1.758,0.194
0.594,1.856,-1.235
0.178,-1.998,-1.983
0.279,-0.028,0.177
0.922,1.997,0.246
-0.177,0.927,-0.633
-0.086,-1.998,-1.994
0.505,-0.376,-0.689
0.223,1.547,-1.068
-0.498,0.428,-0.469
-0.166,-1.998,-1.303
-0.006,-0.543,-0.346
0.246,1.306,-0.727
-0.254,0.713,-0.94
0.163,-1.998,-1.757
-0.158,-1.406,-0.833
0.364,1.499,-0.709
0.079,1.997,-1.384
-0.925,-1.998,-0.302
-0.296,-1.998,0.285
0.122,1.776,-1.457
0.122,1.997,-0.757
0.222,-1.971,0.013
-0.573,-1.998,0.999
-0.275,1.944,-1.035
-0.262,1.997,-1.403
0.449,-0.304,-0.173
-0.798,-1.998,-0.014
-0.274,1.13,-1.226
-0.012,1.997,-1.305
1.554,-1.229,0.243
-0.418,-1.998,0.398
-0.336,1.915,-1.501
-0.089,1.997,-1.93
-1.1,-1.998,0.014
-0.427,-1.036,-0.329
-1.203,1.997,-1.46
0.802,1.15,-1.58
0.219,-1.998,-0.824
0.091,0.959,-0.577
-0.405,0.93,-0.112
-0.35,-1.001,-1.001
-0.624,-0.115,-0.221
-0.547,1.027,-0.21
-1.314,0.681,-1.458
-1.998,-1.997,-0.321
-1.049,0.352,-0.522
-0.528,1.997,-0.226
-1.891,1.282,-1.024
-1.744,-1.998,0.064
0.293,0.757,0.134
-0.683,1.996,0.465
-1.711,-1.309,-0.456
-0.814,-1.886,-0.048
0.033,1.985,-0.417
-0.096,1.997,0.467
-1.687,-1.988,0.043
-0.704,-1.222,-0.106
-1.199,1.997,-0.14
-0.068,1.848,0.046
-1.488,-0.404,-0.482
-0.035,-1.998,-0.19
0.035,1.201,0.031
-0.013,1.997,0.469
-0.275,-0.699,-0.147
-0.456,-1.582,-0.359
-0.406,1.995,-0.201
-1.393,1.768,-0.243
-0.071,-1.5,0.382
-1.297,-1.73,-0.108
-0.709,1.983,0.061
-0.314,1.884,-0.508
-0.782,-1.998,-1.197
-0.638,-0.992,0.312
-0.939,1.463,0.556
-1.067,0.788,-0.259
0.148,-1.666,-1.997
-1.133,-1.382,-0.575
-0.492,1.643,-0.243
-0.364,1.739,0.276
0.651,0.091,-1.077
-0.685,-1.998,-1.075
-0.299,0.966,0.008
0.315,1.973,0.44
0.307,-0.268,-1.172
-0.813,-1.998,-1.248
-0.204,0.307,-0.58
-0.164,1.769,-1.111
0.978,0.63,-0.576
-0.308,-1.998,-1.937
-0.113,-1.998,-0.523
-0.084,0.139,-0.007
-1.707,1.981,-0.763
-0.614,0.672,-1.294
1.517,-1.998,-1.923
1.938,-1.998,-0.497
0.176,-1.037,-0.01
-1.346,1.266,0.388
-1.998,1.804,-1.08
-0.215,-0.423,-1.939
1.587,-1.291,-1.751
1.968,-1.832,-1.111
0.329,-1.604,-0.511
-1.193,0.972,0.259
-1.998,1.997,-1.278
-0.307,-0.429,-1.712
1.997,-1.986,-1.306
1.452,-1.998,-0.503
-0.134,-0.536,-0.317
-1.934,1.687,-0.105
-1.968,1.795,-1.74
0.804,-0.819,-1.688
1.997,-1.44,-1.88
1.423,-1.998,-0.42
-0.164,-1.087,-0.373
-1.929,1.194,0.563
-1.998,1.99,-1.149
0.589,-0.107,-1.648
1.632,-1.88,-1.764
1.782,-1.998,-1.391
0.076,-1.561,-0.148
-1.238,0.989,0.001
-1.998,1.997,-0.672
-0.051,0.113,-1.212
1.838,-1.716,-1.993
0.622,-1.998,-0.893
0.101,-0.797,0.179
-0.16,0.884,0.566
-0.538,1.764,-0.616
0.827,-1.329,-1.899
0.363,-1.948,-0.902
-0.212,0.917,-0.704
-0.02,1.997,-0.621
0.482,0.177,-1.969
-0.717,-1.982,-1.785
-0.371,0.183,0.465
-0.442,1.05,1.231
0.664,0.531,-1.09
-0.3,-0.846,-0.144
-0.527,0.908,0.177
-0.254,1.824,-0.787
0.686,0.128,-1.197
0.01,-1.597,-1.928
1.329,-0.394,-1.103
1.134,1.08,-0.406
0.087,0.766,-0.819
-0.276,-1.998,-1.353
0.572,-0.231,-0.038
0.017,1.736,-0.312
-0.605,0.744,-1.153
0.302,0.345,-0.282
0.65,-1.998,-1.611
-0.283,1.997,0.137
-0.654,1.247,-0.568
0.148,-1.998,-1.997
0.279,0.138,-0.199
-0.123,1.936,-0.732
1.052,-0.517,-1.655
0.326,-1.901,-0.464
0.129,0.596,0.006
-0.085,0.994,0.227
-0.937,-0.972,-1.3
-1.049,-0.672,-0.374
-1.417,0.633,-0.043
-1.998,0.39,-0.908
-1.737,-1.998,-0.836
-0.851,-0.323,-0.843
0.225,1.993,0.342
-1.643,-0.07,0.062
-1.133,-1.998,-0.318
0.142,0.991,0.399
-0.779,1.782,0.011
-1.993,-1.966,-0.747
-1.098,-0.803,0.147
-0.801,1.607,0.157
-1.486,-0.688,-1.093
-0.404,-1.806,-0.369
-0.755,1.613,-0.025
-1.868,-0.433,-0.894
-1.039,-1.443,-0.106
-0.879,1.56,-0.476
-1.478,-0.945,-0.985
-0.689,-1.124,0.113
-0.998,1.758,-0.427
-1.047,-1.733,-0.575
-0.626,-1.168,0.08
-0.95,1.471,-0.572
-1.056,-1.26,-0.631
-0.891,-0.709,-0.31
-1.25,0.828,-1.037
-1.651,0.241,-0.978
-1.371,0.758,-0.065
-1.147,0.546,-0.27
0.1,-1.888,-1.734
-0.011,-0.776,0.083
0.503,1.809,0.771
0.803,1.664,0.968
-0.267,-1.958,-1.997
-0.036,-1.24,-0.109
1.365,1.968,0.772
0.882,-0.166,-1.245
0.263,-1.443,-1.142
0.055,1.122,0.108
-0.25,0.759,-0.974
0.05,-1.997,-1.997
0.443,0.387,0.034
1.407,1.822,0.816
0.272,-1.541,-1.507
0.249,-1.254,-0.724
-0.511,1.256,-0.304
-0.005,0.522,-1.329
-0.11,-1.995,-1.961
-0.344,0.269,-0.027
-0.566,1.186,0.136
-1.05,-1.816,-1.622
-0.596,-1.369,-0.231
0.375,1.232,-0.205
0.463,0.655,-1.825
-0.264,-1.998,-1.989
-0.554,0.21,0.069
0.295,1.766,0.672
0.169,-1.961,-1.792
0.397,-1.149,0.352
-0.131,1.349,-0.184
-0.673,1.058,-1.984
0.797,-1.872,-0.683
-0.133,0.814,-0.11
-0.606,1.193,-0.999
0.243,-1.331,-1.991
0.234,-0.669,0.052
0.023,1.923,0.574
0.069,-0.055,-1.918
0.534,-0.895,-0.515
-0.479,1.412,-0.289
-0.389,1.097,-1.503
0.506,-1.998,-1.669
-0.178,-0.1,-0.195
0.429,1.589,0.747
1.221,1.527,-0.349
-0.1,0.303,-1.107
-1.45,-1.466,-1.338
-0.347,0.107,-0.721
0.743,1.047,-0.797
1.166,1.464,-0.522
1.388,0.608,-0.41
-0.941,0.015,-1.193
0.139,-1.821,-1.753
0.116,-1.998,-0.885
0.641,0.671,-0.118
0.926,1.997,0.876
0.16,1.856,-0.397
-1.16,-1.89,-1.997
-0.233,-1.998,-0.327
0.021,0.102,0.869
-0.797,1.997,-0.154
-0.445,1.997,-1.36
-1.596,-1.998,-1.582
-1.042,-1.995,-0.258
-0.456,1.389,0.53
-1.1,1.997,-0.046
-1.694,0.715,-1.362
-0.244,-1.998,-1.296
-0.094,-1.139,-0.11
-0.499,1.466,0.3
-1.987,1.995,-0.963
-0.644,-0.729,-0.721
0.093,-1.998,-0.925
-0.784,-1.296,-0.083
-0.346,1.601,-0.774
-0.447,1.967,-0.143
-0.946,0.439,-1.076
0.355,-1.975,-1.615
-0.271,-1.982,0.672
-0.867,1.613,-0.223
-0.449,1.997,-0.212
0.463,-0.294,-0.554
0.169,-1.998,-0.981
-0.403,-0.94,-0.631
-0.195,0.567,-0.921
-0.247,0.837,-0.277
0.273,0.983,-0.645
0.784,0.044,-1.098
0.219,-1.988,-1.474
-0.249,-1.3,-0.275
-0.305,0.349,0.205
-0.743,1.997,-0.932
0.168,-0.704,-0.301
0.615,-1.864,-1.997
-0.043,-1.025,-0.29
0.093,1.555,0.143
-0.596,1.91,-0.563
-0.363,0.623,-0.878
-0.904,-1.477,-1.834
-0.54,-0.597,-0.733
-0.009,0.856,-0.521
0.061,1.495,-0.039
-0.703,0.843,-1.233
-0.469,0.233,-1.898
-0.256,-0.759,-1.061
-0.052,0.159,-0.107
0.087,1.795,-0.517
-0.538,1.322,-0.845
0.039,0.115,-1.289
0.127,-0.439,-1.825
-0.118,-0.062,-0.655
-0.169,1.037,-0.715
-0.072,1.271,0.343
-1.088,0.744,-1.435
0.787,-1.258,-1.997
0.248,-0.296,0.392
0.115,1.296,1.402
-1.045,1.288,-0.592
-0.589,1.095,-1.27
0.511,0.066,-1.257
0.057,-0.786,-0.465
-0.131,1.148,0.067
-0.598,1.191,-0.146
-0.386,1.251,-0.852
0.063,-0.054,-0.884
0.337,-0.835,-0.898
0.501,1.63,-0.054
0.38,1.535,-0.371
0.126,1.39,-0.751
-0.474,-0.267,-0.107
0.635,-0.192,-1.994
0.237,-0.083,-0.981
0.164,0.654,0.131
0.621,0.691,0.21
0.397,0.337,0.052
-0.435,0.266,-1.918
1.086,0.094,-1.686
0.357,0.762,-0.214
0.758,1.117,0.737
0.782,0.977,0.832
-0.132,0.459,-1.17
0.892,0.117,-1.682
0.985,0.191,-0.467
0.409,0.255,-0.55
-0.021,0.484,1.738
0.138,0.713,0.373
1.181,0.117,-1.079
1.468,0.126,-1.938
1.14,0.345,-0.687
0.298,1.308,1.069
0.263,1.03,1.763
0.45,-0.191,-1.121
0.371,-0.741,-1.983
1.143,0.046,-0.883
1.087,1.803,-1.419
-1.575,1.239,1.499
-1.806,0.423,-0.018
-0.615,0.15,-1.997
1.997,0.388,-1.398
1.384,0.754,-0.363
-1.261,1.048,-0.285
-1.91,0.872,0.498
-1.232,0.415,0.168
-0.451,0.194,-1.623
1.537,0.47,-1.057
1.165,0.908,-1.004
-0.171,1.225,-1.135
-1.998,0.904,-0.268
-0.188,-0.19,-0.222
1.997,-0.006,-0.572
1.114,-0.016,-0.681
-0.383,0.259,-1.202
-0.531,0.645,-0.29
0.094,0.615,-0.262
0.801,0.542,-0.38
-0.739,0.8,-0.739
-1.103,0.857,-1.102
0.172,0.493,-1.626
1.997,0.856,-0.615
-0.684,0.976,-1.209
-1.998,0.327,-1.558
1.074,-0.531,0.179
1.997,0.809,-0.213
-1.073,0.942,-1.978
-0.327,0.719,-0.267
0.42,1.11,-0.721
-0.513,0.927,-1.405
1.209,0.402,-0.286
0.338,0.584,-0.783
-0.493,-0.473,-0.179
0.852,0.051,-0.658
0.586,0.973,-1.299
1.183,0.778,-0.529
0.851,0.484,-0.4
-0.333,-0.032,-0.087
0.584,0.938,-1.159
-0.739,0.337,-0.441
0.681,0.341,-0.461
1.997,0.902,0.17
-1.005,0.431,-1.827
-0.986,0.489,-0.073
0.691,0.064,0.178
-0.669,0.573,-1.409
